search_term,youtube_video_id,youtube_video_title,youtube_video_views,youtube_video_channel,video_url
anti-black,Ttl3W6tJDCA,Trudeau asked why he attended anti-Black racism rally in violation of physical distancing guidelines,11712,Global News,www.youtube.com/watch/?v=Ttl3W6tJDCA
anti-black,TxOwolKcSy0,Anti-black racism present and deadly in Canada,10718,CityNews Toronto,www.youtube.com/watch/?v=TxOwolKcSy0
anti-black,B7JFmHywsrE,How Asian Americans Can Help Fight Anti-Black Racism | NowThis,22336,NowThis News,www.youtube.com/watch/?v=B7JFmHywsrE
anti-black,3XjFJi1nrc4,TTC and Anti-Black racism,603,Toronto Transit Commission,www.youtube.com/watch/?v=3XjFJi1nrc4
anti-black,OlWgeYTitKE,NDP Leader Jagmeet Singh on anti-black racism,7503,CTV News,www.youtube.com/watch/?v=OlWgeYTitKE
anti-black,AVIQMPPMwaQ,George Floyd death: Trudeau condemns anti-Black racism in Canada as protests erupt in U.S.,67556,Global News,www.youtube.com/watch/?v=AVIQMPPMwaQ
anti-black,sFlcQTucxzs,How to Talk About Anti Black Racism,1096,Art Gallery of Ontario,www.youtube.com/watch/?v=sFlcQTucxzs
anti-black,LCzE48VHVgU,South Asians in the Perpetuation of Anti-Blackness | Aretha Basu | TEDxTeslaSTEMSchool,12513,TEDx Talks,www.youtube.com/watch/?v=LCzE48VHVgU
anti-black,gof8NpnKKtE,"George Floyd death: Trudeau addresses anti-Black racism, including his own history of racist makeup",74771,Global News,www.youtube.com/watch/?v=gof8NpnKKtE
anti-black,XAaeqrEB3nw,Living In Colour: How anti-Black racism affects mental health,1563,Global News,www.youtube.com/watch/?v=XAaeqrEB3nw
anti-black,IGyUbOEkpQE,Virtual town hall on anti-Black racism,2205,City of Vancouver,www.youtube.com/watch/?v=IGyUbOEkpQE
anti-black,5k2Testkp0o,Challenges to Global Anti-Black Racism: A Conversation,822,Watson Institute for International and Public Affairs,www.youtube.com/watch/?v=5k2Testkp0o
anti-black,n6KBYsnpqpQ,Combatting Anti-Black Racism in Schools,1280,The Agenda with Steve Paikin,www.youtube.com/watch/?v=n6KBYsnpqpQ
anti-black,pSs84XU8UbM,Living In Colour: Why ignoring Canada’s anti-Black racism affects Black Canadians today,2994,Global News,www.youtube.com/watch/?v=pSs84XU8UbM
anti-black,Dx9EjInVNZU,Anti-Black racism town hall held in Durham Region,1330,CityNews Toronto,www.youtube.com/watch/?v=Dx9EjInVNZU
anti-black,PffdINMx99E,George Floyd death: Trudeau delivers statement on anti-Black racism in Canada&#39;s House of Commons,59481,Global News,www.youtube.com/watch/?v=PffdINMx99E
anti-black,BhC_0RHvd20,Political and policy solutions to tackle anti-black racism in Canada | Your Morning,1287,Your Morning,www.youtube.com/watch/?v=BhC_0RHvd20
anti-black,1Erdq-xhR8M,Breaking Down the Anti-Blackness of Latinidad,22083,The Root,www.youtube.com/watch/?v=1Erdq-xhR8M
repeal the ban,S4Pk1d0ob1w,The Fight to Repeal the Irish Abortion Ban - The Jim Jefferies Show,2030387,Comedy Central,www.youtube.com/watch/?v=S4Pk1d0ob1w
repeal the ban,TfgOstLPueA,"27 Anti-Gun Bills Submitted In Texas (AWB, Mag Ban, Red Flag, etc)",93836,Guns & Gadgets,www.youtube.com/watch/?v=TfgOstLPueA
repeal the ban,OlEzO9VDlQU,Dems Call For Repeal of Ban on Taxpayer Abortion Funding,225,Church Militant,www.youtube.com/watch/?v=OlEzO9VDlQU
repeal the ban,aMSo4IOWYgM,NKY lawmaker introduces bill that would repeal authority to ban concealed firearms,117,LOCAL 12,www.youtube.com/watch/?v=aMSo4IOWYgM
repeal the ban,nIuuWnfsXcE,Pitbull advocates push cities to repeal bans on breed,409,9NEWS,www.youtube.com/watch/?v=nIuuWnfsXcE
repeal the ban,0ZeDV52F6yk,Let&#39;s Repeal the Muslim Ban!,144,MPAC National,www.youtube.com/watch/?v=0ZeDV52F6yk
repeal the ban,k9Uhuy2au3w,Fox Hunting Ban Repeal,3779,srspower,www.youtube.com/watch/?v=k9Uhuy2au3w
repeal the ban,AYz6YoWpuys,Gates Agrees to Proposal to Repeal Gay Ban,1536,Associated Press,www.youtube.com/watch/?v=AYz6YoWpuys
repeal the ban,WiYUW-97dj4,Republicans block repeal of ban on gays serving openly in military,55,AP Archive,www.youtube.com/watch/?v=WiYUW-97dj4
repeal the ban,UdS7MB982k4,Mormons Repeal Ban On Baptisms For Children Of Gay Parents,393,CBS Denver,www.youtube.com/watch/?v=UdS7MB982k4
repeal the ban,YqrikaVZtM4,Ilhan Omar Calls for Travel Ban Repeal,441,Nicholas Ballasy,www.youtube.com/watch/?v=YqrikaVZtM4
repeal the ban,Gj0zj09YAlM,"Gates, Obama Urge Repeal of Military&#39;s Gay Ban",656,Associated Press,www.youtube.com/watch/?v=Gj0zj09YAlM
repeal the ban,sLXmWpArf3w,KCK votes to repeal pit bull ban,39,KCTV5 News,www.youtube.com/watch/?v=sLXmWpArf3w
repeal the ban,kG5v9pNeVNM,Denver residents to vote on repeal of pit bull ban Aurora postpones similar decision 2020 08 22 en,5,Hạnh Lâm,www.youtube.com/watch/?v=kG5v9pNeVNM
repeal the ban,nAD_ZKu8jaI,Lawmaker pushes repeal of Christmas alcohol ban,61,KRQE,www.youtube.com/watch/?v=nAD_ZKu8jaI
repeal the ban,ynjqyxt8mho,Mormons Repeal Ban On Baptisms For Children Of Gay Parents,23,CBS Local News,www.youtube.com/watch/?v=ynjqyxt8mho
repeal the ban,cGZ02NxvDuk,WRAP Republicans block repeal of ban on gays serving openly in military,72,AP Archive,www.youtube.com/watch/?v=cGZ02NxvDuk
repeal the ban,X1uc4QGkjsQ,Denver Passes Pit Bull Breed Ban Repeal On First Vote,2121,CBS Denver,www.youtube.com/watch/?v=X1uc4QGkjsQ
repeal the ban,FUx9ENjpRq8,"Abortion referendum in Ireland likely to result in repeal of ban, exit polls suggest",10,World,www.youtube.com/watch/?v=FUx9ENjpRq8
repeal the ban,xZhttr1BYT8,Proposed Repeal Of Denver Pit Bull Ban To Take Public Comment,122,CBS Denver,www.youtube.com/watch/?v=xZhttr1BYT8
lgbtq+,4aqiFH5hSIg,LGBTQ+ อยากได้อะไรอีก? ในเมื่อประเทศไทยเปิดกว้างขนาดนี้แล้ว,169940,ถกถาม,www.youtube.com/watch/?v=4aqiFH5hSIg
lgbtq+,f5jwTft6654,Can LGBTQ+ and Christians See Eye To Eye? | Middle Ground,7101396,Jubilee,www.youtube.com/watch/?v=f5jwTft6654
